hitter_archetype,pitcher_archetype,total_pitches,zone_distribution
Contact Hitter,Average Spin,22410,"{""14.0"": 0.18265410882471098, ""13.0"": 0.1358300227648083, ""11.0"": 0.12476007677543186, ""12.0"": 0.09637102173816006, ""5.0"": 0.06427710574476632, ""8.0"": 0.059634870329866536, ""4.0"": 0.05476945052001964, ""9.0"": 0.05423380797214659, ""6.0"": 0.05182341650671785, ""7.0"": 0.04758291300272285, ""2.0"": 0.04749363924474401, ""1.0"": 0.04289604070883364, ""3.0"": 0.03767352586707137}"
Contact Hitter,High Spin,6418,"{""14.0"": 0.28653786226238703, ""13.0"": 0.11483328139607354, ""11.0"": 0.09192894982860704, ""12.0"": 0.0816453723901527, ""5.0"": 0.062013088189467123, ""9.0"": 0.059052664381427235, ""6.0"": 0.05858522904331567, ""8.0"": 0.051417887192271736, ""4.0"": 0.045808663134933, ""2.0"": 0.04471798067933936, ""7.0"": 0.03599252103459021, ""3.0"": 0.03536927391710813, ""1.0"": 0.03209722655032721}"
Power Hitter,Average Spin,1708,"{""5.0"": 0.20843091334894615, ""8.0"": 0.12704918032786885, ""4.0"": 0.11592505854800937, ""6.0"": 0.10714285714285714, ""2.0"": 0.08021077283372366, ""7.0"": 0.07552693208430913, ""9.0"": 0.0661592505854801, ""1.0"": 0.04918032786885246, ""13.0"": 0.04449648711943794, ""14.0"": 0.04274004683840749, ""3.0"": 0.04215456674473068, ""11.0"": 0.024004683840749413, ""12.0"": 0.016978922716627636}"
Power Hitter,High Spin,373,"{""5.0"": 0.18498659517426275, ""8.0"": 0.16353887399463807, ""6.0"": 0.12332439678284182, ""4.0"": 0.12064343163538874, ""9.0"": 0.08310991957104558, ""7.0"": 0.07506702412868632, ""2.0"": 0.06166219839142091, ""14.0"": 0.040214477211796246, ""1.0"": 0.040214477211796246, ""13.0"": 0.03485254691689008, ""3.0"": 0.03485254691689008, ""12.0"": 0.021447721179624665, ""11.0"": 0.0160857908847185}"
Contact Hitter,Average Spin,34918,"{""14.0"": 0.16421402622991196, ""13.0"": 0.13182685795209653, ""11.0"": 0.12991810849085647, ""12.0"": 0.09081953081706791, ""5.0"": 0.06988485930669294, ""4.0"": 0.06040268456375839, ""6.0"": 0.05898651560864479, ""8.0"": 0.05880179791884736, ""2.0"": 0.05258296902900068, ""9.0"": 0.050181639061634135, ""7.0"": 0.0471030108983437, ""1.0"": 0.045871559633027525, ""3.0"": 0.0394064404901176}"
Contact Hitter,High Spin,2455,"{""14.0"": 0.25580448065173117, ""13.0"": 0.12627291242362526, ""11.0"": 0.08513238289205703, ""5.0"": 0.07454175152749491, ""9.0"": 0.06965376782077393, ""12.0"": 0.06476578411405295, ""8.0"": 0.06313645621181263, ""6.0"": 0.059470468431771895, ""4.0"": 0.05784114052953157, ""7.0"": 0.04114052953156823, ""2.0"": 0.039103869653767824, ""1.0"": 0.0329938900203666, ""3.0"": 0.03014256619144603}"
Power Hitter,Average Spin,1465,"{""5.0"": 0.19863481228668942, ""8.0"": 0.13583617747440274, ""6.0"": 0.11331058020477816, ""4.0"": 0.10921501706484642, ""7.0"": 0.0901023890784983, ""2.0"": 0.08532423208191127, ""9.0"": 0.07303754266211604, ""3.0"": 0.04709897610921502, ""1.0"": 0.04641638225255973, ""13.0"": 0.03549488054607509, ""14.0"": 0.026621160409556314, ""11.0"": 0.020477815699658702, ""12.0"": 0.018430034129692834}"
Power Hitter,High Spin,174,"{""8.0"": 0.16091954022988506, ""5.0"": 0.14367816091954022, ""4.0"": 0.12643678160919541, ""6.0"": 0.12643678160919541, ""9.0"": 0.10919540229885058, ""7.0"": 0.09770114942528736, ""14.0"": 0.07471264367816093, ""1.0"": 0.04597701149425287, ""11.0"": 0.040229885057471264, ""3.0"": 0.028735632183908046, ""2.0"": 0.022988505747126436, ""13.0"": 0.017241379310344827, ""12.0"": 0.005747126436781609}"
Contact Hitter,Average Spin,7851,"{""14"": 0.16838619284167622, ""13"": 0.14622341103044198, ""11"": 0.1184562476117692, ""12"": 0.10992230289135142, ""5"": 0.06088396382626417, ""4"": 0.05935549611514457, ""6"": 0.058718634568844734, ""2"": 0.05107629601324672, ""9"": 0.04980257292064705, ""8"": 0.04967520061138708, ""7"": 0.04674563749840785, ""3"": 0.0403770220354095, ""1"": 0.0403770220354095}"
Contact Hitter,High Spin,3518,"{""14"": 0.25838544627629334, ""13"": 0.1617396247868107, ""11"": 0.08413871517907902, ""12"": 0.06424104604889141, ""5"": 0.06196702671972712, ""8"": 0.061398521887436046, ""9"": 0.057703240477544056, ""6"": 0.0488914155770324, ""4"": 0.04690164866401365, ""2"": 0.04377487208641274, ""7"": 0.041500852757248435, ""1"": 0.03695281409891984, ""3"": 0.03240477544059125}"
