game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,group,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,on_3b_x,on_2b_x,on_1b_x,outs_when_up_x,on_3b_y,on_2b_y,on_1b_y,outs_when_up_y,team_x,ba_x,ops_x,ld_percent_x,gb_percent_x,fb_percent_x,bb_percent_x,k_percent_x,team_y,ba_y,ops_y,ld_percent_y,gb_percent_y,fb_percent_y,bb_percent_y,k_percent_y,pitch_type_grouped,pitch_type_encoded,pitch_type_binary,runners_on,outs_remaining,late_game,high_leverage_score,high_leverage_situation,previous_pitch_1,previous_pitch_2,previous_pitch_3,previous_pitch_4,previous_pitch_1_encoded,previous_pitch_2_encoded,previous_pitch_3_encoded,previous_pitch_4_encoded,prev_pitch_outcome_grouped,prev_pitch_outcome_encoded,rolling_pitch_freq,batter_rolling_avg,pitcher_hand_encoded,batter_hand_encoded,log_rolling_pitch_freq,count_encoded,pitch_1_count_interaction,pitcher_batter_matchup
744989,2024-07-24,5,Bot,623167,608369,CH,82.3,1248.0,-0.3,54.07,6.52,-1.24,0.85,-0.01,1.92,8.0,double,hit_into_play,89.3,31.0,318.0,82.6,213.0,19633,3,1,,,,0.0,,,,,,,,,TEX,0.278,0.864,0.165,0.412,0.423,0.099,0.18,TEX,0.278,0.864,0.165,0.412,0.423,0.099,0.18,CH,1,0,False,3.0,0,0.46153846153846156,0,2,2,1,1,3,3,2,2,Ball,0,0.10638297872340426,0.2,1,0,0.10109611687136877,10,30,0
746922,2024-08-10,9,Bot,623352,663853,SI,96.6,2213.0,2.98,53.77,5.5,0.51,1.54,-0.35,2.3,4.0,,foul,84.1,71.0,142.0,97.2,148.0,9781,0,1,,646240.0,,2.0,,,,,,,,,BOS,0.266,0.723,0.176,0.556,0.268,0.056,0.269,BOS,0.266,0.723,0.176,0.556,0.268,0.056,0.269,SI,5,1,True,1.0,1,0.5384615384615385,0,2,3,5,3,3,4,6,4,Foul,3,0.0,0.0,0,1,0.0,1,3,0
746806,2024-04-30,5,Bot,681892,657757,SI,91.7,2192.0,2.31,53.26,6.05,1.29,0.63,-0.29,2.44,4.0,,foul,92.3,24.0,304.0,93.4,141.0,29556,2,2,,,,0.0,,,,,,,,,CHW,0.233,0.66,0.218,0.368,0.414,0.086,0.212,CHW,0.233,0.66,0.218,0.368,0.414,0.086,0.212,SI,5,1,False,3.0,0,0.46153846153846156,0,6,6,5,2,7,7,6,3,Ball,0,0.035460992907801414,0.1,0,0,0.034846731330168156,8,56,0
746534,2024-07-03,4,Bot,607067,686668,ST,82.6,2241.0,-1.97,53.58,5.44,0.79,-0.45,0.91,1.09,14.0,,ball,,,,84.3,61.0,2219,1,1,,553869.0,,1.0,,,,,,,,,COL,0.26,0.764,0.2,0.41,0.39,0.076,0.254,COL,0.26,0.764,0.2,0.41,0.39,0.076,0.254,ST,7,0,True,2.0,0,0.5192307692307693,1,5,5,2,5,6,6,3,6,Foul,3,0.02836879432624113,0.3,1,1,0.02797385204240612,4,24,1
745688,2024-09-24,4,Bot,665152,665862,FS,84.9,1207.0,-1.8,53.94,6.06,-1.1,1.01,-0.24,1.68,8.0,field_out,hit_into_play,80.5,47.0,229.0,85.1,222.0,23012,3,1,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Other,4,0,False,1.0,0,0.0,0,3,4,4,3,4,5,5,4,Ball,0,0.05673758865248227,0.0,1,0,0.05518641556729086,10,40,0
746810,2024-04-14,4,Top,647336,687952,SL,81.6,2864.0,-2.64,54.31,6.17,0.6,-0.03,0.97,1.08,14.0,strikeout,swinging_strike,,,,82.2,48.0,13376,1,3,,666181.0,,1.0,,,,,,,,,CIN,0.19,0.513,0.181,0.482,0.337,0.033,0.285,CIN,0.19,0.513,0.181,0.482,0.337,0.033,0.285,SL,6,0,True,2.0,0,0.5192307692307693,1,3,3,6,6,4,4,7,7,Foul,3,0.15602836879432622,0.1,1,1,0.14499031042859403,5,20,1
746317,2024-04-24,5,Bot,650893,686469,FC,88.1,2015.0,2.13,54.61,5.81,-0.01,0.58,-1.39,0.9,13.0,,ball,,,,87.4,155.0,23351,1,1,672580.0,677951.0,,0.0,,,,,,,,,KCR,0.262,0.76,0.176,0.395,0.429,0.072,0.128,KCR,0.262,0.76,0.176,0.395,0.429,0.072,0.128,FC,2,1,True,3.0,0,0.7500000000000001,1,2,2,5,5,3,3,6,6,Foul,3,0.04964539007092199,0.0,0,0,0.04845238338594679,4,12,0
745717,2024-07-22,7,Top,607074,676609,FF,96.3,2422.0,1.66,54.3,6.48,0.59,1.56,-1.25,3.53,11.0,,ball,,,,95.8,147.0,17782,1,0,,,642350.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,FF,3,1,True,1.0,1,0.5384615384615385,0,4,5,3,4,5,6,4,5,Batted_Ball,1,0.3404255319148936,0.0,0,1,0.2929871246814741,3,15,0
746589,2024-08-28,7,Bot,608379,665926,FC,88.3,1987.0,-2.02,53.68,6.43,-0.18,1.05,-1.01,3.34,11.0,,ball,,,,89.5,198.0,27625,3,1,,,680757.0,0.0,,,,,,,,,CLE,0.252,0.638,0.205,0.503,0.292,0.041,0.153,CLE,0.252,0.638,0.205,0.503,0.292,0.041,0.153,FC,2,1,True,3.0,1,1.0,1,1,1,2,1,2,2,3,2,Ball,0,0.10638297872340426,0.0,1,0,0.10109611687136877,10,20,0
746292,2024-06-28,7,Bot,670766,669004,CH,80.7,1379.0,-2.23,53.63,5.07,-1.17,0.19,-0.57,0.88,13.0,,foul,,,,82.1,263.0,27309,1,2,,,,0.0,,,,,,,,,KCR,0.206,0.674,0.167,0.421,0.411,0.078,0.251,KCR,0.206,0.674,0.167,0.421,0.411,0.078,0.251,CH,1,0,False,3.0,1,0.7115384615384616,0,7,3,3,7,8,4,4,8,Foul,3,0.014184397163120567,0.2,1,0,0.014084739881739002,5,40,0
745303,2024-08-11,1,Top,806185,676632,CH,89.6,1243.0,-1.28,53.98,6.32,-0.87,-0.41,-1.18,1.95,13.0,,ball,,,,90.1,263.0,10175,1,1,,,,0.0,,,,,,,,,DET,0.269,0.683,0.25,0.271,0.479,0.08,0.267,DET,0.269,0.683,0.25,0.271,0.479,0.08,0.267,CH,1,0,False,3.0,0,0.46153846153846156,0,3,1,3,6,4,2,4,7,Strike,6,0.014184397163120567,0.0,1,0,0.014084739881739002,4,16,0
746021,2024-09-05,7,Bot,676661,660821,CU,80.8,2315.0,-0.7,53.31,5.56,0.58,-1.39,0.42,-0.66,14.0,,blocked_ball,,,,81.3,21.0,4617,1,0,665052.0,,,2.0,,,,,,,,,MIA,0.252,0.731,0.203,0.503,0.294,0.076,0.261,MIA,0.252,0.731,0.203,0.503,0.294,0.076,0.261,CB,0,0,True,1.0,1,0.5384615384615385,0,0,3,0,3,1,4,1,4,Strike,6,0.02127659574468085,0.3,1,0,0.021053409197832343,3,3,0
745842,2024-04-01,10,Top,543859,682985,SL,82.1,2211.0,-3.42,53.82,5.25,0.4,-0.06,1.03,1.68,14.0,,ball,,,,81.9,50.0,544,3,0,,,,,,679529.0,,0.0,,,,,DET,0.262,0.827,0.218,0.436,0.346,0.11,0.267,DET,0.262,0.827,0.218,0.436,0.346,0.11,0.267,SL,6,0,False,3.0,1,0.7115384615384616,0,3,6,5,3,4,7,6,4,Ball,0,0.10638297872340426,0.0,1,0,0.10109611687136877,9,36,0
745131,2024-09-06,1,Top,607200,677594,SI,93.5,2058.0,-1.12,53.99,6.06,-0.82,0.87,-0.03,2.34,8.0,,called_strike,,,,93.5,206.0,4841,0,1,,,,1.0,,,,,,,,,SEA,0.273,0.734,0.206,0.443,0.351,0.062,0.254,SEA,0.273,0.734,0.206,0.443,0.351,0.062,0.254,SI,5,1,False,2.0,0,0.2307692307692308,0,5,2,2,7,6,3,3,8,Batted_Ball,1,0.02127659574468085,0.0,1,1,0.021053409197832343,1,6,1
