count,Hits,At_Bats,Walks,Hit_By_Pitch,Sac_Flies,Total_Bases,Swings,Whiffs,BA,OBP,SLG,OPS,Whiff_Rate
0-0,25,88,0,3,3,47,99,1,0.284,0.298,0.534,0.832,0.01
0-1,15,55,0,1,0,27,218,46,0.273,0.286,0.491,0.777,0.211
0-2,8,29,0,0,1,13,158,28,0.276,0.267,0.448,0.715,0.177
0-3,0,20,0,0,0,0,12,12,0.0,0.0,0.0,0.0,1.0
1-0,17,41,0,0,0,25,43,0,0.415,0.415,0.61,1.025,0.0
1-1,17,52,0,0,2,26,142,36,0.327,0.315,0.5,0.815,0.254
1-2,21,70,1,4,0,35,231,34,0.3,0.347,0.5,0.847,0.147
1-3,0,23,0,0,0,0,19,19,0.0,0.0,0.0,0.0,1.0
2-0,10,23,0,0,0,23,26,1,0.435,0.435,1.0,1.435,0.038
2-1,13,33,0,0,1,24,67,11,0.394,0.382,0.727,1.109,0.164
2-2,13,58,0,1,1,15,172,16,0.224,0.233,0.259,0.492,0.093
2-3,0,23,0,0,0,0,19,19,0.0,0.0,0.0,0.0,1.0
3-0,2,3,0,0,0,5,3,0,0.667,0.667,1.667,2.334,0.0
3-1,7,17,0,0,0,14,21,1,0.412,0.412,0.824,1.236,0.048
3-2,20,44,0,1,0,37,122,8,0.455,0.467,0.841,1.308,0.066
3-3,0,25,0,0,0,0,20,20,0.0,0.0,0.0,0.0,1.0
4-0,0,0,12,0,0,0,0,0,,1.0,,,0.0
4-1,0,0,20,0,0,0,0,0,,1.0,,,0.0
4-2,0,0,39,0,0,0,0,0,,1.0,,,0.0
