count,Plate_Appearances,Hits_Allowed,Walks,HBP,Strikeouts,Home_Runs,Outs,Earned_Runs,At_Bats,Total_Bases_Allowed,Innings_Pitched,HR%,Opp_BA,Opp_SLUG,ERA,Most_Common_Pitch,Most_Common_Pitch_Percentage
0-0,140,42,0,3,0,2,91,42,135,62,30.33,1.43,0.311,0.459,2.7,FF,32.17
0-1,89,26,0,0,2,4,60,26,89,43,20.0,4.49,0.292,0.483,2.63,FF,26.48
0-2,42,10,0,0,5,0,30,10,42,11,10.0,0.0,0.238,0.262,2.14,FF,22.41
0-3,30,0,0,0,30,0,30,0,30,0,10.0,0.0,0.0,0.0,0.0,CU,30.77
1-0,60,18,0,0,0,4,40,18,59,36,13.33,6.67,0.305,0.61,2.7,FF,29.06
1-1,78,18,0,1,0,1,57,18,77,26,19.0,1.28,0.234,0.338,2.08,FF,21.96
1-2,73,21,0,3,18,1,48,21,70,31,16.0,1.37,0.3,0.443,2.59,CU,24.13
1-3,53,0,0,0,53,0,53,0,53,0,17.67,0.0,0.0,0.0,0.0,CU,26.42
2-0,17,7,0,0,0,1,10,7,17,12,3.33,5.88,0.412,0.706,3.71,SI,29.41
2-1,35,5,0,1,1,1,27,5,34,10,9.0,2.86,0.147,0.294,1.29,SI,22.66
2-2,81,22,0,1,6,1,53,22,80,33,17.67,1.23,0.275,0.412,2.44,FF,21.71
2-3,46,0,0,0,46,0,46,0,46,0,15.33,0.0,0.0,0.0,0.0,CU,21.74
3-0,2,0,0,0,0,0,2,0,2,0,0.67,0.0,0.0,0.0,0.0,SI,24.32
3-1,15,3,0,0,0,1,12,3,15,6,4.0,6.67,0.2,0.4,1.8,FF,34.07
3-2,60,18,0,1,6,2,40,18,59,26,13.33,3.33,0.305,0.441,2.7,SI,29.95
3-3,27,0,0,0,26,0,26,0,27,0,8.67,0.0,0.0,0.0,0.0,FF,29.63
4-0,8,0,8,0,0,0,0,0,0,0,0.0,0.0,,,0.0,SI,62.5
4-1,20,0,20,0,0,0,0,0,0,0,0.0,0.0,,,0.0,SI,30.0
4-2,24,0,24,0,0,0,0,0,0,0,0.0,0.0,,,0.0,FF,41.67
