game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,stand,p_throws
748583,2023-10-04,9,Top,661395,662139,FF,4-Seam Fastball,101.3,2169,-2.13,54.3,5.92,-1.05,1.0,-0.94,3.63,11,strikeout,swinging_strike,,,,101.5,226,L,R
748583,2023-10-04,9,Top,661395,662139,FF,4-Seam Fastball,101.7,2217,-2.05,54.26,5.92,-1.11,1.04,0.29,3.12,3,,swinging_strike,,,,101.7,224,L,R
748583,2023-10-04,9,Top,661395,662139,FF,4-Seam Fastball,100.2,2144,-2.14,54.16,5.83,-1.02,1.11,-0.17,2.92,2,,swinging_strike,,,,100.6,230,L,R
748583,2023-10-04,9,Top,661395,656305,CU,Curveball,87.0,2485,-1.94,54.09,5.91,0.32,-0.68,0.87,1.4,14,strikeout,swinging_strike,,,,87.5,52,R,R
748583,2023-10-04,9,Top,661395,656305,CU,Curveball,86.4,2593,-2.03,54.29,5.96,0.34,-0.73,-0.31,1.59,7,,swinging_strike,,,,86.6,46,R,R
748583,2023-10-04,9,Top,661395,656305,CU,Curveball,85.2,2565,-2.46,54.19,5.92,0.26,-0.64,0.53,2.09,9,,called_strike,,,,85.5,55,R,R
748583,2023-10-04,9,Top,661395,669289,FF,4-Seam Fastball,101.3,2113,-1.9,54.18,5.94,-1.06,0.95,-0.21,2.8,5,single,hit_into_play,91.6,14.0,239.0,101.5,225,R,R
748583,2023-10-04,9,Top,661395,672386,FS,Split-Finger,98.3,1762,-1.88,54.22,5.87,-1.22,0.1,-0.84,1.19,13,strikeout,swinging_strike,,,,98.5,224,R,R
748583,2023-10-04,9,Top,661395,672386,FS,Split-Finger,97.0,1600,-2.04,54.11,5.83,-1.23,0.04,-1.04,1.15,13,,foul,77.5,-23.0,2.0,97.6,230,R,R
748583,2023-10-04,9,Top,661395,672386,FF,4-Seam Fastball,101.2,2067,-1.9,54.02,5.87,-1.0,1.04,0.58,2.46,6,,called_strike,,,,102.1,223,R,R
748583,2023-10-04,9,Top,661395,672386,FF,4-Seam Fastball,101.0,2037,-2.0,54.3,5.87,-0.96,1.07,-0.39,2.88,1,,called_strike,,,,101.3,223,R,R
748583,2023-10-04,9,Top,661395,672386,FF,4-Seam Fastball,100.8,2095,-1.96,54.34,6.01,-0.9,1.02,-1.49,5.19,11,,ball,,,,100.5,225,R,R
748583,2023-10-04,9,Top,661395,672386,FF,4-Seam Fastball,102.2,2109,-1.89,54.3,6.04,-0.91,1.23,-0.06,5.09,11,,ball,,,,102.0,221,R,R
748583,2023-10-04,8,Bot,605447,680777,SL,Slider,89.4,2020,-2.22,53.1,6.3,0.2,-0.01,0.18,3.31,2,field_out,hit_into_play,98.8,52.0,271.0,91.5,75,R,R
748583,2023-10-04,8,Bot,605447,650489,SL,Slider,88.3,2197,-2.57,53.15,6.13,0.43,-0.13,-0.15,1.64,8,single,hit_into_play,110.6,-3.0,20.0,90.7,96,L,R
