idfg,season,name,team,age,games,plate_appearances,at_bats,hits,doubles,triples,home_runs,runs,rbi,bb_percent,k_percent,walks,strikeouts,stolen_bases,caught_stealing,batting_average,on_base_percentage,slugging_percentage,ops,wrc_plus,iso,babip,ld_percent,gb_percent,fb_percent,hard_hit_percent
15640,2024,Aaron Judge,NYY,32,158,704,559,180,36,1,58,122,144,0.18899999999999997,0.243,133,171,10,0,0.322,0.458,0.701,1.159,218,0.379,0.367,0.233,0.305,0.462,0.609
25764,2024,Bobby Witt Jr.,KCR,24,161,709,636,211,45,11,32,125,109,0.08,0.15,57,106,31,12,0.332,0.389,0.588,0.977,168,0.256,0.354,0.18600000000000003,0.37,0.444,0.48100000000000004
19755,2024,Shohei Ohtani,LAD,29,159,731,636,197,38,7,54,134,130,0.111,0.222,81,162,59,4,0.31,0.39,0.646,1.036,181,0.336,0.336,0.23600000000000002,0.36,0.40399999999999997,0.595
20123,2024,Juan Soto,NYY,25,157,713,576,166,31,4,41,128,109,0.18100000000000002,0.16699999999999998,129,119,7,4,0.288,0.419,0.569,0.989,180,0.281,0.298,0.204,0.436,0.36,0.568
26289,2024,Gunnar Henderson,BAL,23,159,719,630,177,31,7,37,118,92,0.10800000000000001,0.221,78,159,21,4,0.281,0.364,0.529,0.893,155,0.248,0.32,0.20600000000000002,0.467,0.326,0.539
12916,2024,Francisco Lindor,NYM,30,152,689,618,169,39,1,33,107,91,0.081,0.184,56,127,29,4,0.273,0.344,0.5,0.844,137,0.227,0.295,0.223,0.345,0.43200000000000005,0.474
24617,2024,Jarren Duran,BOS,27,160,735,671,191,48,14,21,111,75,0.073,0.218,54,160,34,7,0.285,0.342,0.492,0.834,129,0.207,0.345,0.183,0.466,0.35200000000000004,0.43700000000000006
13510,2024,Jose Ramirez,CLE,31,158,682,620,173,39,2,39,114,118,0.079,0.12,54,82,41,7,0.279,0.335,0.537,0.872,141,0.258,0.265,0.16899999999999998,0.342,0.489,0.396
26668,2024,Elly De La Cruz,CIN,22,160,696,618,160,36,10,25,105,76,0.099,0.313,69,218,67,16,0.259,0.339,0.471,0.809,118,0.212,0.359,0.207,0.46299999999999997,0.33,0.457
13613,2024,Ketel Marte,ARI,30,136,583,504,147,23,2,36,93,95,0.111,0.182,65,106,7,1,0.292,0.372,0.56,0.932,151,0.268,0.299,0.17300000000000001,0.48100000000000004,0.34600000000000003,0.5329999999999999
19611,2024,Vladimir Guerrero Jr.,TOR,25,159,697,616,199,44,1,30,98,103,0.10300000000000001,0.138,72,96,2,2,0.323,0.396,0.544,0.94,165,0.221,0.342,0.185,0.48100000000000004,0.33399999999999996,0.5479999999999999
16505,2024,Matt Chapman,SFG,31,154,647,575,142,39,2,27,98,78,0.099,0.244,64,158,15,2,0.247,0.328,0.463,0.79,121,0.216,0.293,0.162,0.384,0.45299999999999996,0.48200000000000004
20503,2024,William Contreras,MIL,26,155,679,595,167,37,2,23,99,92,0.115,0.205,78,139,9,2,0.281,0.365,0.466,0.831,131,0.185,0.33,0.166,0.545,0.29,0.49
21534,2024,Cal Raleigh,SEA,27,153,628,546,120,16,0,34,73,100,0.111,0.28,70,176,6,1,0.22,0.312,0.436,0.748,117,0.216,0.251,0.17,0.311,0.519,0.48100000000000004
19556,2024,Yordan Alvarez,HOU,27,147,635,552,170,34,2,35,88,86,0.109,0.15,69,95,6,0,0.308,0.392,0.567,0.959,168,0.259,0.317,0.191,0.33299999999999996,0.47600000000000003,0.49700000000000005
29490,2024,Jackson Merrill,SDP,21,156,593,554,162,31,6,24,77,90,0.049,0.17,29,101,16,3,0.292,0.326,0.5,0.826,130,0.208,0.318,0.239,0.359,0.40299999999999997,0.439
11579,2024,Bryce Harper,PHI,31,145,631,550,157,42,0,30,85,87,0.12,0.21899999999999997,76,138,7,4,0.285,0.373,0.525,0.898,145,0.24,0.331,0.22699999999999998,0.377,0.396,0.47200000000000003
19627,2024,Brent Rooker,OAK,29,145,614,546,160,26,2,39,82,112,0.096,0.28800000000000003,59,177,11,3,0.293,0.365,0.562,0.927,164,0.269,0.362,0.212,0.332,0.456,0.496
15986,2024,Willy Adames,MIL,28,161,688,610,153,33,0,32,93,112,0.10800000000000001,0.251,74,173,21,4,0.251,0.331,0.462,0.794,119,0.211,0.297,0.18899999999999997,0.314,0.498,0.405
10324,2024,Marcell Ozuna,ATL,33,162,688,606,183,31,0,39,96,104,0.10800000000000001,0.247,74,170,1,0,0.302,0.378,0.546,0.925,154,0.244,0.359,0.23600000000000002,0.38,0.384,0.5329999999999999
13624,2024,Corey Seager,TEX,30,123,533,475,132,21,0,30,68,74,0.099,0.18,53,96,1,1,0.278,0.353,0.512,0.864,140,0.234,0.291,0.165,0.41200000000000003,0.423,0.496
13611,2024,Mookie Betts,LAD,31,116,516,450,130,24,5,19,75,75,0.11800000000000001,0.11,61,57,16,2,0.289,0.372,0.491,0.863,141,0.202,0.294,0.244,0.27,0.486,0.39299999999999996
14162,2024,Carlos Correa,MIN,29,86,367,319,99,20,2,14,55,54,0.109,0.166,40,61,0,0,0.31,0.388,0.517,0.905,155,0.207,0.343,0.20199999999999999,0.435,0.363,0.445
10815,2024,Jurickson Profar,SDP,31,158,668,564,158,29,0,24,94,85,0.114,0.151,76,101,10,3,0.28,0.38,0.459,0.839,139,0.179,0.302,0.198,0.42200000000000004,0.379,0.442
18314,2024,Dansby Swanson,CHC,30,149,593,534,129,27,2,16,82,66,0.091,0.243,54,144,19,3,0.242,0.312,0.39,0.701,99,0.148,0.3,0.168,0.499,0.33299999999999996,0.425
27478,2024,Patrick Bailey,SFG,25,121,448,401,94,16,1,8,46,46,0.087,0.223,39,100,4,0,0.234,0.298,0.339,0.637,81,0.105,0.287,0.263,0.391,0.345,0.424
18345,2024,Kyle Tucker,HOU,27,78,339,277,80,13,0,23,56,49,0.165,0.159,56,54,11,0,0.289,0.408,0.585,0.993,180,0.296,0.282,0.196,0.28,0.524,0.44299999999999995
12533,2024,Marcus Semien,TEX,33,159,718,650,154,27,2,23,101,74,0.08900000000000001,0.146,64,105,8,3,0.237,0.308,0.391,0.699,99,0.154,0.25,0.179,0.396,0.425,0.35200000000000004
