game_id,game_date,home_team,away_team,winning_team,final_score,Year,Tm,Opp,W/L,raw_date
2020_ARI_0,2020-07-24,SDP,ARI,SDP,2-7,2020,ARI,SDP,L,"Friday, Jul 24"
2020_ARI_1,2020-07-25,SDP,ARI,SDP,1-5,2020,ARI,SDP,L,"Saturday, Jul 25"
2020_ARI_2,2020-07-26,SDP,ARI,ARI,4-3,2020,ARI,SDP,W,"Sunday, Jul 26"
2020_ARI_3,2020-07-27,SDP,ARI,SDP,2-6,2020,ARI,SDP,L,"Monday, Jul 27"
2020_ARI_4,2020-07-28,TEX,ARI,ARI,4-1,2020,ARI,TEX,W,"Tuesday, Jul 28"
2020_ARI_5,2020-07-29,TEX,ARI,TEX,4-7,2020,ARI,TEX,L,"Wednesday, Jul 29"
2020_ARI_6,2020-07-30,ARI,LAD,LAD,3-6,2020,ARI,LAD,L,"Thursday, Jul 30"
2020_ARI_7,2020-07-31,ARI,LAD,ARI,5-3,2020,ARI,LAD,W,"Friday, Jul 31"
2020_ARI_8,2020-08-01,ARI,LAD,LAD,2-11,2020,ARI,LAD,L,"Saturday, Aug 1"
2020_ARI_9,2020-08-02,ARI,LAD,LAD,0-3,2020,ARI,LAD,L,"Sunday, Aug 2"
2020_ARI_10,2020-08-04,ARI,HOU,HOU,2-8,2020,ARI,HOU,L,"Tuesday, Aug 4"
2020_ARI_11,2020-08-05,ARI,HOU,ARI,14-7,2020,ARI,HOU,W,"Wednesday, Aug 5"
2020_ARI_12,2020-08-06,ARI,HOU,,5-4,2020,ARI,HOU,W-wo,"Thursday, Aug 6"
2020_ARI_13,2020-08-07,SDP,ARI,SDP,0-3,2020,ARI,SDP,L,"Friday, Aug 7"
2020_ARI_14,2020-08-08,SDP,ARI,ARI,3-2,2020,ARI,SDP,W,"Saturday, Aug 8"
2020_ARI_15,2020-08-09,SDP,ARI,SDP,5-9,2020,ARI,SDP,L,"Sunday, Aug 9"
2020_ARI_16,2020-08-10,COL,ARI,ARI,12-8,2020,ARI,COL,W,"Monday, Aug 10"
2020_ARI_17,2020-08-11,COL,ARI,COL,7-8,2020,ARI,COL,L,"Tuesday, Aug 11"
2020_ARI_18,2020-08-12,COL,ARI,ARI,13-7,2020,ARI,COL,W,"Wednesday, Aug 12"
2020_ARI_19,2020-08-14,ARI,SDP,ARI,5-1,2020,ARI,SDP,W,"Friday, Aug 14"
2020_ARI_20,2020-08-15,ARI,SDP,ARI,7-6,2020,ARI,SDP,W,"Saturday, Aug 15"
2020_ARI_21,2020-08-16,ARI,SDP,ARI,5-4,2020,ARI,SDP,W,"Sunday, Aug 16"
2020_ARI_22,2020-08-17,ARI,OAK,,4-3,2020,ARI,OAK,W-wo,"Monday, Aug 17"
2020_ARI_23,2020-08-18,ARI,OAK,ARI,10-1,2020,ARI,OAK,W,"Tuesday, Aug 18"
2020_ARI_24,2020-08-19,OAK,ARI,OAK,1-4,2020,ARI,OAK,L,"Wednesday, Aug 19"
2020_ARI_25,2020-08-20,OAK,ARI,OAK,1-5,2020,ARI,OAK,L,"Thursday, Aug 20"
2020_ARI_26,2020-08-21,SFG,ARI,SFG,2-6,2020,ARI,SFG,L,"Friday, Aug 21"
2020_ARI_27,2020-08-22,SFG,ARI,SFG,1-5,2020,ARI,SFG,L,"Saturday, Aug 22"
2020_ARI_28,2020-08-23,SFG,ARI,SFG,1-6,2020,ARI,SFG,L,"Sunday, Aug 23"
2020_ARI_29,2020-08-24,ARI,COL,COL,2-3,2020,ARI,COL,L,"Monday, Aug 24"
2020_ARI_30,2020-08-25,ARI,COL,COL,4-5,2020,ARI,COL,L,"Tuesday, Aug 25"
2020_ARI_31,2020-08-26,ARI,COL,COL,7-8,2020,ARI,COL,L,"Wednesday, Aug 26"
2020_ARI_32,2020-08-28,ARI,SFG,ARI,7-4,2020,ARI,SFG,W,"Friday, Aug 28"
2020_ARI_33,2020-08-29,ARI,SFG,SFG,2-5,2020,ARI,SFG,L,"Saturday, Aug 29"
2020_ARI_34,2020-08-30,ARI,SFG,SFG,1-4,2020,ARI,SFG,L,"Sunday, Aug 30"
2020_ARI_35,2020-09-01,LAD,ARI,LAD,3-6,2020,ARI,LAD,L,"Tuesday, Sep 1"
2020_ARI_36,2020-09-02,LAD,ARI,,2-3,2020,ARI,LAD,L-wo,"Wednesday, Sep 2"
2020_ARI_37,2020-09-03,LAD,ARI,LAD,1-5,2020,ARI,LAD,L,"Thursday, Sep 3"
2020_ARI_38,2020-09-04,SFG,ARI,ARI,6-5,2020,ARI,SFG,W,"Friday, Sep 4"
2020_ARI_39,2020-09-05,SFG,ARI,SFG,3-4,2020,ARI,SFG,L,"Saturday, Sep 5"
2020_ARI_40,2020-09-06,SFG,ARI,SFG,2-4,2020,ARI,SFG,L,"Sunday, Sep 6"
2020_ARI_41,2020-09-07,SFG,ARI,SFG,2-4,2020,ARI,SFG,L,"Monday, Sep 7"
2020_ARI_42,2020-09-08,ARI,LAD,LAD,9-10,2020,ARI,LAD,L,"Tuesday, Sep 8"
2020_ARI_43,2020-09-09,ARI,LAD,LAD,4-6,2020,ARI,LAD,L,"Wednesday, Sep 9"
2020_ARI_44,2020-09-10,ARI,LAD,ARI,5-2,2020,ARI,LAD,W,"Thursday, Sep 10"
2020_ARI_45,2020-09-11,ARI,SEA,ARI,4-3,2020,ARI,SEA,W,"Friday, Sep 11"
2020_ARI_46,2020-09-12,ARI,SEA,SEA,3-7,2020,ARI,SEA,L,"Saturday, Sep 12"
2020_ARI_47,2020-09-13,ARI,SEA,SEA,3-7,2020,ARI,SEA,L,"Sunday, Sep 13"
2020_ARI_48,2020-09-15,LAA,ARI,ARI,9-8,2020,ARI,LAA,W,"Tuesday, Sep 15"
2020_ARI_49,2020-09-16,LAA,ARI,ARI,9-6,2020,ARI,LAA,W,"Wednesday, Sep 16"
2020_ARI_50,2020-09-17,LAA,ARI,LAA,3-7,2020,ARI,LAA,L,"Thursday, Sep 17"
2020_ARI_51,2020-09-18,HOU,ARI,ARI,6-3,2020,ARI,HOU,W,"Friday, Sep 18"
2020_ARI_52,2020-09-19,HOU,ARI,HOU,2-3,2020,ARI,HOU,L,"Saturday, Sep 19"
2020_ARI_53,2020-09-20,HOU,ARI,HOU,2-3,2020,ARI,HOU,L,"Sunday, Sep 20"
2020_ARI_54,2020-09-22,ARI,TEX,ARI,7-0,2020,ARI,TEX,W,"Tuesday, Sep 22"
2020_ARI_55,2020-09-23,ARI,TEX,ARI,7-3,2020,ARI,TEX,W,"Wednesday, Sep 23"
2020_ARI_56,,ARI,COL,ARI,4-0,2020,ARI,COL,W,"Friday, Sep 25 (1)"
2020_ARI_57,,ARI,COL,ARI,11-5,2020,ARI,COL,W,"Friday, Sep 25 (2)"
2020_ARI_58,2020-09-26,ARI,COL,COL,3-10,2020,ARI,COL,L,"Saturday, Sep 26"
2020_ARI_59,2020-09-27,ARI,COL,ARI,11-3,2020,ARI,COL,W,"Sunday, Sep 27"
2020_ATL_60,2020-07-24,NYM,ATL,NYM,0-1,2020,ATL,NYM,L,"Friday, Jul 24"
2020_ATL_61,2020-07-25,NYM,ATL,ATL,5-3,2020,ATL,NYM,W,"Saturday, Jul 25"
2020_ATL_62,2020-07-26,NYM,ATL,ATL,14-1,2020,ATL,NYM,W,"Sunday, Jul 26"
2020_ATL_63,2020-07-27,TBR,ATL,TBR,5-14,2020,ATL,TBR,L,"Monday, Jul 27"
2020_ATL_64,2020-07-28,TBR,ATL,TBR,2-5,2020,ATL,TBR,L,"Tuesday, Jul 28"
2020_ATL_65,2020-07-29,ATL,TBR,ATL,7-4,2020,ATL,TBR,W,"Wednesday, Jul 29"
2020_ATL_66,2020-07-30,ATL,TBR,ATL,2-1,2020,ATL,TBR,W,"Thursday, Jul 30"
2020_ATL_67,2020-07-31,ATL,NYM,ATL,11-10,2020,ATL,NYM,W,"Friday, Jul 31"
2020_ATL_68,2020-08-01,ATL,NYM,ATL,7-1,2020,ATL,NYM,W,"Saturday, Aug 1"
2020_ATL_69,2020-08-02,ATL,NYM,ATL,4-0,2020,ATL,NYM,W,"Sunday, Aug 2"
2020_ATL_70,2020-08-03,ATL,NYM,NYM,2-7,2020,ATL,NYM,L,"Monday, Aug 3"
2020_ATL_71,2020-08-04,ATL,TOR,ATL,10-1,2020,ATL,TOR,W,"Tuesday, Aug 4"
2020_ATL_72,2020-08-05,ATL,TOR,TOR,1-2,2020,ATL,TOR,L,"Wednesday, Aug 5"
2020_ATL_73,2020-08-06,ATL,TOR,,4-3,2020,ATL,TOR,W-wo,"Thursday, Aug 6"
2020_ATL_74,2020-08-08,PHI,ATL,PHI,0-5,2020,ATL,PHI,L,"Saturday, Aug 8"
2020_ATL_75,,PHI,ATL,ATL,5-2,2020,ATL,PHI,W,"Sunday, Aug 9 (1)"
2020_ATL_76,,PHI,ATL,ATL,8-0,2020,ATL,PHI,W,"Sunday, Aug 9 (2)"
2020_ATL_77,2020-08-10,PHI,ATL,PHI,8-13,2020,ATL,PHI,L,"Monday, Aug 10"
2020_ATL_78,2020-08-11,NYY,ATL,NYY,6-9,2020,ATL,NYY,L,"Tuesday, Aug 11"
2020_ATL_79,2020-08-12,NYY,ATL,NYY,3-6,2020,ATL,NYY,L,"Wednesday, Aug 12"
2020_ATL_80,2020-08-14,MIA,ATL,MIA,2-8,2020,ATL,MIA,L,"Friday, Aug 14"
2020_ATL_81,2020-08-15,MIA,ATL,ATL,2-1,2020,ATL,MIA,W,"Saturday, Aug 15"
2020_ATL_82,2020-08-16,MIA,ATL,ATL,4-0,2020,ATL,MIA,W,"Sunday, Aug 16"
