idfg,season,name,team,age,wins,losses,war,era,games,games_started,innings_pitched,strikeouts,walks,home_runs,whip,k_per_9,bb_per_9,k_percent,bb_percent,fip,xfip,babip,lob_percent,hard_hit_percent,flyball_percent,fb_velocity,sl_percent,sl_velocity,ch_percent,ch_velocity,cb_percent,cb_velocity,ld_percent,gb_percent,hr_per_9
10603,2024,Chris Sale,ATL,35,18,3,6.4,2.38,29,29,177.2,225,39,9,1.01,11.4,1.98,0.321,0.055999999999999994,2.09,2.64,0.314,0.7979999999999999,0.307,0.336,94.8,0.40299999999999997,78.7,0.142,86.9,,,0.21600000000000003,0.44799999999999995,0.46
22267,2024,Tarik Skubal,DET,27,18,4,5.9,2.39,31,31,192.0,228,35,15,0.92,10.69,1.64,0.303,0.046,2.49,2.83,0.273,0.8,0.335,0.358,96.8,0.146,88.8,0.273,86.3,0.042,78.5,0.184,0.457,0.7
10310,2024,Zack Wheeler,PHI,34,16,7,5.4,2.57,32,32,200.0,224,52,20,0.96,10.08,2.34,0.285,0.066,3.13,3.3,0.246,0.8009999999999999,0.332,0.39,95.1,0.12300000000000001,85.0,,,0.10099999999999999,81.8,0.184,0.426,0.9
21846,2024,Cole Ragans,KCR,26,11,9,4.9,3.14,32,32,186.1,223,67,15,1.14,10.77,3.24,0.293,0.08800000000000001,2.99,3.46,0.29,0.747,0.35200000000000004,0.405,95.4,0.133,86.1,0.237,84.8,0.10400000000000001,80.8,0.187,0.40700000000000003,0.72
18525,2024,Dylan Cease,SDP,28,14,11,4.8,3.47,33,33,189.1,224,65,18,1.07,10.65,3.09,0.294,0.085,3.1,3.44,0.263,0.6940000000000001,0.382,0.424,96.9,0.43,87.7,0.009000000000000001,69.7,0.11900000000000001,82.5,0.17800000000000002,0.39799999999999996,0.86
12447,2024,Seth Lugo,KCR,34,16,9,4.7,3.0,33,33,206.2,181,48,16,1.09,7.88,2.09,0.217,0.057,3.25,3.83,0.277,0.7509999999999999,0.39,0.36700000000000005,92.2,0.23,82.6,0.061,87.5,0.166,79.8,0.191,0.442,0.7
20778,2024,Cristopher Sanchez,PHI,27,11,9,4.7,3.32,31,31,181.2,153,44,11,1.24,7.58,2.18,0.203,0.057999999999999996,3.0,3.19,0.313,0.7120000000000001,0.34299999999999997,0.215,94.5,0.168,84.4,0.35700000000000004,85.2,,,0.21100000000000002,0.574,0.54
27463,2024,Garrett Crochet,CHW,25,6,12,4.7,3.58,32,32,146.0,209,33,18,1.07,12.88,2.03,0.35100000000000003,0.055,2.69,2.38,0.318,0.736,0.38799999999999996,0.361,97.2,0.099,84.3,0.059000000000000004,91.0,,,0.188,0.451,1.11
17995,2024,Logan Webb,SFG,27,13,10,4.4,3.47,33,33,204.2,172,50,11,1.23,7.56,2.2,0.205,0.059000000000000004,2.95,3.28,0.315,0.7170000000000001,0.46,0.22699999999999998,92.6,0.213,83.8,0.308,87.4,,,0.205,0.568,0.48
33677,2024,Paul Skenes,PIT,22,11,3,4.3,1.96,23,23,133.0,170,32,10,0.95,11.5,2.17,0.331,0.062,2.44,2.54,0.284,0.856,0.359,0.309,98.9,0.161,85.5,0.054000000000000006,87.4,0.109,83.0,0.17800000000000002,0.513,0.68
