pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-10-04,101.3,-2.13,5.92,"Duran, Jhoan",662139,661395,strikeout,swinging_strike,,,,,11,Daulton Varsho strikes out swinging.,F,L,R,MIN,TOR,S,2,,0,2,2023,-1.05,1.0,-0.94,3.63,,593160,,2,9,Top,,,,,,,5.799892197743565,-147.45241836079472,-3.5144719526494534,-16.659859574914684,32.673023887522355,-16.86074150653372,3.27,1.48,,,,101.5,2169,6.2,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.3,,0.0,0.0,1,0,0,,72,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,226,0.037,-0.206,,,,0.206,,2,-2,0.963,0.037,25,26,25,27,1,3,1,1,4,,1.2,1.05,-1.05,33.1
FF,2023-10-04,101.7,-2.05,5.92,"Duran, Jhoan",662139,661395,,swinging_strike,,,,,3,Daulton Varsho strikes out swinging.,F,L,R,MIN,TOR,S,,,0,1,2023,-1.11,1.04,0.29,3.12,,593160,,2,9,Top,,,,,,,9.165291020819923,-147.77146841219752,-5.0795809019463105,-18.335322069485137,33.305725818412576,-15.81415816828678,3.27,1.48,,,,101.7,2217,6.2,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.26,,,,,,,,72,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,224,0.0,-0.068,,,,0.068,,2,-2,0.963,0.037,25,26,25,27,1,3,1,1,4,,1.16,1.11,-1.11,34.1
FF,2023-10-04,100.2,-2.14,5.83,"Duran, Jhoan",662139,661395,,swinging_strike,,,,,2,Daulton Varsho strikes out swinging.,F,L,R,MIN,TOR,S,,,0,0,2023,-1.02,1.11,-0.17,2.92,,,593160,2,9,Top,,,,,,,7.840713975299553,-145.76301271936688,-5.320563379334826,-16.355034427301508,31.081157323623135,-15.30944912698974,3.27,1.48,,,,100.6,2144,6.3,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.16,,,,,,,,72,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,230,-0.002,-0.038,,,,0.038,,2,-2,0.965,0.035,25,26,25,27,1,3,1,1,4,,1.15,1.02,-1.02,30.8
CU,2023-10-04,87.0,-1.94,5.91,"Duran, Jhoan",656305,661395,strikeout,swinging_strike,,,,,14,Matt Chapman strikes out swinging.,F,R,R,MIN,TOR,S,2,,0,2,2023,0.32,-0.68,0.87,1.4,,,593160,1,9,Top,,,,,,,6.1062717372038975,-126.61204630236344,-3.331264699917976,2.332708969834502,23.370661328203894,-39.07343176633559,3.46,1.64,,,,87.5,2485,6.4,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.09,,0.0,0.0,1,0,0,,71,3,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,52,0.048,-0.188,,,,0.188,,2,-2,0.917,0.083,25,30,25,30,1,3,1,1,4,,3.66,-0.32,-0.32,35.1
CU,2023-10-04,86.4,-2.03,5.96,"Duran, Jhoan",656305,661395,,swinging_strike,,,,,7,Matt Chapman strikes out swinging.,F,R,R,MIN,TOR,S,,,0,1,2023,0.34,-0.73,-0.31,1.59,,,593160,1,9,Top,,,,,,,3.421896297523991,-125.89108697450396,-2.7568759103139433,2.965125806241298,23.893003128991595,-39.67801620414989,3.46,1.64,,,,86.6,2593,6.2,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.29,,,,,,,,71,2,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,46,0.0,-0.062,,,,0.062,,2,-2,0.917,0.083,25,30,25,30,1,3,1,1,4,,3.76,-0.34,-0.34,33.7
CU,2023-10-04,85.2,-2.46,5.92,"Duran, Jhoan",656305,661395,,called_strike,,,,,9,Matt Chapman strikes out swinging.,F,R,R,MIN,TOR,S,,,0,0,2023,0.26,-0.64,0.53,2.09,,,593160,1,9,Top,,,,,,,6.512352956372253,-124.07389862694664,-1.4713907590000703,1.4692627162988416,23.626315896794736,-38.69052926815041,3.49,1.63,,,,85.5,2565,6.3,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.19,,,,,,,,71,1,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,55,0.0,-0.05,,,,0.05,,2,-2,0.917,0.083,25,30,25,30,1,3,1,1,4,,3.76,-0.26,-0.26,31.1
FF,2023-10-04,101.3,-1.9,5.94,"Duran, Jhoan",669289,661395,single,hit_into_play,,,,,5,Santiago Espinal singles on a line drive to center fielder Michael A.   Taylor.,F,R,R,MIN,TOR,X,8,line_drive,0,0,2023,-1.06,0.95,-0.21,2.8,,,,1,9,Top,145.63,76.25,,,,,7.236644869050504,-147.29673649096443,-5.758929013251932,-17.09551534674877,33.21362250687122,-17.09205943418976,3.42,1.64,239,91.6,14,101.5,2113,6.3,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.18,0.96,0.912,0.9,1,1,0,4,70,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,225,-0.049,0.263,,,1.114,-0.263,91.6,2,-2,0.966,0.034,25,28,25,29,1,1,1,3,4,,1.26,1.06,1.06,32.8
FS,2023-10-04,98.3,-1.88,5.87,"Duran, Jhoan",672386,661395,strikeout,swinging_strike,,,,,13,Alejandro Kirk strikes out swinging.,F,R,R,MIN,TOR,S,2,,2,2,2023,-1.22,0.1,-0.84,1.19,,,,0,9,Top,,,,,,,5.654093088441954,-142.98757466730413,-7.48362870551038,-18.06284816551831,30.4501167965278,-29.36798947180737,2.97,1.39,,,,98.5,1762,6.3,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.22,,0.0,0.0,1,0,0,,69,6,Split-Finger,2,0,0,2,0,2,0,2,Standard,Standard,224,0.037,-0.214,,,,0.214,,2,-2,0.929,0.071,25,24,25,25,1,3,1,1,4,,2.25,1.22,1.22,31.7
FS,2023-10-04,97.0,-2.04,5.83,"Duran, Jhoan",672386,661395,,foul,,,,,13,Alejandro Kirk strikes out swinging.,F,R,R,MIN,TOR,S,,,2,2,2023,-1.23,0.04,-1.04,1.15,,,,0,9,Top,,,,,,,5.501795042141547,-141.1270319603931,-7.134325314130132,-17.752775866360516,28.767456314013767,-30.345422948691688,2.97,1.39,2,77.5,-23,97.6,1600,6.4,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.11,,,,,,,,69,5,Split-Finger,2,0,0,2,0,2,0,2,Standard,Standard,230,0.0,0.0,,,,0.0,88.0,2,-2,0.929,0.071,25,24,25,25,1,3,1,1,4,,2.36,1.23,1.23,33.0
FF,2023-10-04,101.2,-1.9,5.87,"Duran, Jhoan",672386,661395,,called_strike,,,,,6,Alejandro Kirk strikes out swinging.,F,R,R,MIN,TOR,S,,,2,1,2023,-1.0,1.04,0.58,2.46,,,,0,9,Top,,,,,,,9.30853575756085,-147.18941095434607,-6.783934583495987,-16.555180817550205,29.870899205774545,-15.577638253283462,2.97,1.34,,,,102.1,2067,6.5,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.02,,,,,,,,69,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,223,0.0,-0.067,,,,0.067,,2,-2,0.929,0.071,25,24,25,25,1,3,1,1,4,,1.16,1.0,1.0,33.2
FF,2023-10-04,101.0,-2.0,5.87,"Duran, Jhoan",672386,661395,,called_strike,,,,,1,Alejandro Kirk strikes out swinging.,F,R,R,MIN,TOR,S,,,2,0,2023,-0.96,1.07,-0.39,2.88,,,,0,9,Top,,,,,,,6.743480694966207,-146.94115322996075,-5.604777978064421,-15.459573461196085,30.900167072280755,-15.576828344899225,2.85,1.28,,,,101.3,2037,6.2,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.3,,,,,,,,69,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,223,0.0,-0.058,,,,0.058,,2,-2,0.929,0.071,25,24,25,25,1,3,1,1,4,,1.15,0.96,0.96,32.0
FF,2023-10-04,100.8,-1.96,6.01,"Duran, Jhoan",672386,661395,,ball,,,,,11,Alejandro Kirk strikes out swinging.,F,R,R,MIN,TOR,B,,,1,0,2023,-0.9,1.02,-1.49,5.19,,,,0,9,Top,,,,,,,3.4332252992186767,-146.73930416597906,0.6426760853623782,-13.760308654644753,35.87830222352889,-17.82332001743869,2.91,1.34,,,,100.5,2095,6.2,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.34,,,,,,,,69,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,225,0.0,0.064,,,,-0.064,,2,-2,0.929,0.071,25,24,25,25,1,3,1,1,4,,1.23,0.9,0.9,34.2
