Feature,Importance
speed_change,0.0817856
pitch_freq_FS,0.078311816
pitch_freq_KC,0.076573625
pitch_freq_ST,0.07505119
pitch_freq_FC,0.07405847
pitch_freq_SI,0.07135052
pitch_freq_SL,0.067047775
previous_pitch_1,0.06420893
pitch_freq_SV,0.05945432
pitch_freq_FF,0.055487834
pitch_freq_KN,0.05042725
pitch_freq_CU,0.04907594
most_common_pitch_for_count,0.045046464
pitch_freq_CH,0.044181973
pitch_freq_SC,0.014081376
pitch_freq_EP,0.013539066
pitch_freq_FA,0.013456244
pitch_freq_FO,0.012871262
pitch_freq_-1,0.0045793415
pitch_freq_CS,0.0044562006
count_1-2,0.0042940374
count_1-1,0.0038094711
pitch_freq_PO,0.0035483483
count_2-1,0.0032382908
count_1-0,0.0030179557
count_2-2,0.002926197
previous_pitch_2,0.0027854627
count_2-0,0.0025255138
runners_on,0.0025026046
count_3-1,0.0022415821
high_leverage_situation,0.0019723647
on_1b,0.0017769545
count_3-2,0.0016070695
inning,0.001353847
late_game,0.0013179083
outs_when_up,0.0013173389
count_3-0,0.001244506
outs_remaining,0.0010206688
scoring_threat,0.0010130402
on_3b,0.0008635981
on_2b,0.00057802617
previous_pitch_encoded,0.0
stand_L,0.0
inning_topbot_BOT,0.0
p_throws_L,0.0
